01020000,"0.0, 0.0, 0.0, 0.0"
01020001,"-50.0, -50.0, 8.305984249056221, 47.49809085483735"
01020010,"-50.0, 50.098552050447495, 131.7555752677185, -50.0"
01020011,"0.0, 0.0, 66.27179922878503, 0.0"
01020100,"-50.0, -15.979403083070128, -50.0, -8.399783304945856"
01020101,"-50.0, -50.0, -50.0, 26.551968423228637"
01020110,"-50.0, 5.086519106219811, -50.0, -50.0"
01020111,"-75.0, -50.0, -85.0, -50.0"
01021000,"0.0, 0.0, 0.0, 0.0"
01021001,"0.0, 0.0, 0.0, 0.0"
01021010,"0.0, 0.0, 0.0, 0.0"
01021011,"0.0, 0.0, 0.0, 0.0"
01021100,"0.0, 0.0, 0.0, 0.0"
01021101,"0.0, 0.0, 0.0, 0.0"
01021110,"0.0, 0.0, 0.0, 0.0"
01021111,"0.0, 0.0, 0.0, 0.0"
01100000,"0.0, 0.0, 0.0, 0.0"
01100001,"-50.0, -50.0, 11.13721350567883, 223.96946042689262"
01100010,"-50.0, 15.978378339151256, -8.857438690295844, -50.0"
01100011,"0.0, 0.0, 0.0, 0.0"
01100100,"-50.0, 16.441205209501504, -50.0, 199.21018646670996"
01100101,"-50.0, -50.0, -50.0, 113.6093262238744"
01100110,"-55.00000000000001, 16.12094953872363, -39.912657501329406, -50.0"
01100111,"-50.0, -50.0, -50.0, 0.0"
01101000,"0.0, 0.0, 0.0, 0.0"
01101001,"0.0, 0.0, 0.0, 0.0"
01101010,"0.0, 0.0, 0.0, 0.0"
01101011,"0.0, 0.0, 0.0, 0.0"
01101100,"0.0, 0.0, 0.0, 0.0"
01101101,"0.0, 0.0, 0.0, 0.0"
01101110,"0.0, 0.0, 0.0, 0.0"
01101111,"0.0, 0.0, 0.0, 0.0"
01110000,"0.0, 0.0, 0.0, 0.0"
01110001,"0.0, 0.0, 0.0, 0.0"
01110010,"0.0, 0.0, 0.0, 0.0"
01110011,"0.0, 0.0, 0.0, 0.0"
01110100,"0.0, 0.0, 0.0, 0.0"
01110101,"0.0, 0.0, 0.0, 0.0"
01110110,"0.0, 0.0, 0.0, 0.0"
01110111,"0.0, 0.0, 0.0, 0.0"
01111000,"0.0, 0.0, 0.0, 0.0"
01111001,"0.0, 0.0, 0.0, 0.0"
01111010,"0.0, 0.0, 0.0, 0.0"
01111011,"0.0, 0.0, 0.0, 0.0"
01111100,"0.0, 0.0, 0.0, 0.0"
01111101,"0.0, 0.0, 0.0, 0.0"
01111110,"0.0, 0.0, 0.0, 0.0"
01111111,"0.0, 0.0, 0.0, 0.0"
01120000,"0.0, 0.0, 0.0, 0.0"
01120001,"-50.0, -50.0, -3.361775399326916, 46.59161378667553"
01120010,"-50.0, 31.545785386433856, 4.201351869238702, -50.0"
01120011,"-50.0, -50.0, 40.99571398338631, -50.0"
01120100,"-50.0, 23.501837040869553, -50.0, -29.03111807116391"
01120101,"-50.0, -50.0, -50.0, 4.880835117786209"
01120110,"-50.0, 29.582656481125206, -87.5, -75.0"
01120111,"-93.75, -97.1875, -93.75, -93.75"
01121000,"0.0, 0.0, 0.0, 0.0"
01121001,"0.0, 0.0, 0.0, 0.0"
01121010,"0.0, 0.0, 0.0, 0.0"
01121011,"0.0, 0.0, 0.0, 0.0"
01121100,"0.0, 0.0, 0.0, 0.0"
01121101,"0.0, 0.0, 0.0, 0.0"
01121110,"0.0, 0.0, 0.0, 0.0"
01121111,"0.0, 0.0, 0.0, 0.0"
01200000,"0.0, 0.0, 0.0, 0.0"
